Time	I_Q3
0.00199601	-0.340456822
0.001996015	-0.332162749
0.00199602	-0.097859889
0.001996025	-0.094784262
0.00199603	-0.328317057
0.001996035	-0.339998117
0.00199604	-0.103182686
0.001996045	-0.076581308
0.00199605	-0.30819357
0.001996055	-5.98E-06
0.00199606	6.65E-06
0.001996065	0.080727652
0.00199607	-2.76E-06
0.001996075	-1.18E-06
0.00199608	-3.39E-06
0.001996085	-1.79E-06
0.00199609	-4.01E-06
0.001996095	-2.43E-06
0.0019961	-4.62E-06
0.001996105	-3.04E-06
0.00199611	-5.22E-06
0.001996115	-3.64E-06
0.00199612	-5.79E-06
0.001996125	-4.22E-06
0.00199613	-6.35E-06
0.001996135	-4.78E-06
0.00199614	-6.91E-06
0.001996145	-5.34E-06
0.00199615	-7.44E-06
0.001996155	-5.88E-06
0.00199616	-7.96E-06
0.001996165	-6.40E-06
0.00199617	-8.46E-06
0.001996175	-6.89E-06
0.00199618	-8.94E-06
0.001996185	-7.38E-06
0.00199619	-9.39E-06
0.001996195	-7.84E-06
0.0019962	-9.83E-06
0.001996205	-8.29E-06
0.00199621	-1.03E-05
0.001996215	-8.71E-06
0.00199622	-1.06E-05
0.001996225	-9.10E-06
0.00199623	-1.10E-05
0.001996235	-9.46E-06
0.00199624	-1.14E-05
0.001996245	-9.83E-06
0.00199625	-1.17E-05
0.001996255	-1.02E-05
0.00199626	-1.20E-05
0.001996265	-1.05E-05
0.00199627	-1.23E-05
0.001996275	-1.08E-05
0.00199628	-1.25E-05
0.001996285	-1.10E-05
0.00199629	-1.28E-05
0.001996295	-1.12E-05
0.0019963	-1.30E-05
0.001996305	-1.15E-05
0.00199631	-1.32E-05
0.001996315	-1.16E-05
0.00199632	-1.33E-05
0.001996325	-1.18E-05
0.00199633	-1.34E-05
0.001996335	-1.19E-05
0.00199634	-1.36E-05
0.001996345	-1.20E-05
0.00199635	-1.36E-05
0.001996355	-1.21E-05
0.00199636	-1.37E-05
0.001996365	-1.22E-05
0.00199637	-1.37E-05
0.001996375	-1.22E-05
0.00199638	-1.37E-05
0.001996385	-1.22E-05
0.00199639	-1.36E-05
0.001996395	-1.22E-05
0.0019964	-1.36E-05
0.001996405	-1.21E-05
0.00199641	-1.35E-05
0.001996415	-1.20E-05
0.00199642	-1.34E-05
0.001996425	-1.19E-05
0.00199643	-1.32E-05
0.001996435	-1.17E-05
0.00199644	-1.30E-05
0.001996445	-1.16E-05
0.00199645	-1.28E-05
0.001996455	-1.14E-05
0.00199646	-1.26E-05
0.001996465	-1.11E-05
0.00199647	-1.23E-05
0.001996475	-1.09E-05
0.00199648	-1.21E-05
0.001996485	-1.06E-05
0.00199649	-1.17E-05
0.001996495	-1.03E-05
0.0019965	-1.14E-05
0.001996505	-9.96E-06
0.00199651	-1.10E-05
0.001996515	-9.60E-06
0.00199652	-1.06E-05
0.001996525	-9.20E-06
0.00199653	-1.02E-05
0.001996535	-8.80E-06
0.00199654	-9.74E-06
0.001996545	-8.36E-06
0.00199655	-9.26E-06
0.001996555	-7.87E-06
0.00199656	-8.75E-06
0.001996565	-7.38E-06
0.00199657	-8.23E-06
0.001996575	-6.87E-06
0.00199658	-7.67E-06
0.001996585	-6.32E-06
0.00199659	-7.09E-06
0.001996595	-5.74E-06
0.0019966	-6.49E-06
0.001996605	-5.15E-06
0.00199661	-5.86E-06
0.001996615	-4.53E-06
0.00199662	-5.20E-06
0.001996625	-3.89E-06
0.00199663	-4.53E-06
0.001996635	-3.23E-06
0.00199664	-3.82E-06
0.001996645	-2.54E-06
0.00199665	-3.10E-06
0.001996655	-1.83E-06
0.00199666	-2.36E-06
0.001996665	-1.09E-06
0.00199667	-1.58E-06
0.001996675	-3.48E-07
0.00199668	-8.03E-07
0.001996685	4.33E-07
0.00199669	0
0.001996695	1.22E-06
0.0019967	8.17E-07
0.001996705	2.03E-06
0.00199671	1.67E-06
0.001996715	2.84E-06
0.00199672	2.52E-06
0.001996725	3.70E-06
0.00199673	3.40E-06
0.001996735	4.55E-06
0.00199674	4.29E-06
0.001996745	5.44E-06
0.00199675	5.19E-06
0.001996755	6.34E-06
0.00199676	6.12E-06
0.001996765	7.23E-06
0.00199677	7.07E-06
0.001996775	8.16E-06
0.00199678	8.02E-06
0.001996785	9.09E-06
